ts,variant,text,rating,reason
2025-08-19T09:28:50.746989,v4_spicy,Lorenz What are the odds you can solve a riddle given by someone else in less than one minute?,0,
2025-08-19T09:29:06.291149,v4_spicy,Robin What are the odds you can perform a perfect cartwheel while balancing a glass of water on your head?,0,
2025-08-19T09:29:22.594887,v4_spicy,Marvin What are the odds you can convince everyone in the group to trade clothes with someone else for one hour?,1,
2025-08-19T09:29:29.789913,v4_spicy,Daniel What are the odds you can make a short speech about the importance of having fun and being brave in trying new things?,1,
2025-08-19T09:38:32.569586,v4_spicy,"Robin, What are the odds you dance on a table at the local Spanish nightclub?",2,
2025-08-19T09:38:39.394177,v4_spicy,"Philipp, What are the odds you challenge a stranger to a friendly soccer match?",1,
2025-08-19T09:38:50.327921,v4_spicy,"Marvin, What are the odds you find a stray flamenco guitar and serenade everyone in sight?",1,
2025-08-19T09:38:58.881564,v4_spicy,"Daniel, What are the odds you convince a passerby to let you wash their car with a sponge and a smile?",2,
2025-08-19T09:39:18.148147,v4_spicy,"Lex, What are the odds you join a random group of people playing paella and offer to stir the pot?",1,
2025-08-19T10:02:32.735458,v4_spicy,Robin What are the odds you can find a random stranger who's born on your birthday?,-1,
2025-08-19T10:02:45.117475,v4_spicy,Philipp What are the odds you can convince a pastry chef to make you a dessert made of olives?,0,
2025-08-19T10:02:53.870261,v4_spicy,Marvin What are the odds you can climb a palm tree in a flamenco costume?,1,
2025-08-19T10:03:04.416967,v4_spicy,Daniel What are the odds you can teach a Spanish street performer a new magic trick?,1,
2025-08-19T10:03:14.097027,v4_spicy,Lex What are the odds you can convince a local to trade his car for a plate of tapas?,2,
2025-08-19T10:03:31.887107,v4_spicy,Tiberio What are the odds you can find someone who looks exactly like you and take a selfie together?,-1,
2025-08-19T10:03:44.439668,v4_spicy,Sven What are the odds you can convince a flamenco dancer to teach you her moves on the spot?,1,
2025-08-19T10:03:55.588017,v4_spicy,Leon What are the odds you can get a local to tell you their best joke in three different languages?,0,
2025-08-19T10:04:04.590575,v4_spicy,Lorenz What are the odds you can find someone who shares your exact name and birthday?,-1,
